#    || r ||         || r_adj ||     Objective          || grad ||       Stepsize  ls_iter   Accuracy_train  Accuracy_val
  0  -1.00000000e+00  -1.00000000e+00  3.44634419872995e+01  1.17910525779002e+01  1.000000   0  32.0%  32.1%
  1  -1.00000000e+00  -1.00000000e+00  1.60943791243421e+00  5.46725597467270e-01  1.000000   0  35.1%  36.6%
  2  -1.00000000e+00  -1.00000000e+00  1.44667048850683e+00  3.78984814486976e-01  1.000000   0  45.1%  45.2%
  3  -1.00000000e+00  -1.00000000e+00  1.30430347745858e+00  2.98855989850912e-01  0.250000   2  47.1%  47.1%
  4  -1.00000000e+00  -1.00000000e+00  1.25018219448528e+00  3.40416055513343e-01  0.000488  11  43.8%  43.9%
  5  -1.00000000e+00  -1.00000000e+00  1.22750159937147e+00  1.41862787104318e-01  0.500000   1  52.6%  51.7%
  6  -1.00000000e+00  -1.00000000e+00  1.21899822585466e+00  1.00931612322748e-01  0.500000   1  53.7%  53.5%
  7  -1.00000000e+00  -1.00000000e+00  1.20867928547805e+00  1.38694601310050e-01  1.000000   0  56.0%  55.1%
  8  -1.00000000e+00  -1.00000000e+00  1.19553881275959e+00  1.24276231357846e-01  1.000000   0  56.8%  56.5%
  9  -1.00000000e+00  -1.00000000e+00  1.16965784748873e+00  9.95175366654563e-02  1.000000   0  56.2%  55.3%
 10  -1.00000000e+00  -1.00000000e+00  1.14578448767790e+00  2.34076427077271e-01  0.500000   1  56.0%  55.4%
 11  -1.00000000e+00  -1.00000000e+00  1.13476652765498e+00  3.45953207055040e-01  0.125000   3  54.0%  53.2%
 12  -1.00000000e+00  -1.00000000e+00  1.11053220103706e+00  4.83528945539948e-01  1.000000   0  54.7%  54.8%
 13  -1.00000000e+00  -1.00000000e+00  1.09048010047244e+00  4.60453126625646e-01  0.250000   2  55.3%  56.4%
 14  -1.00000000e+00  -1.00000000e+00  1.07064195648533e+00  2.88672071833341e-01  0.125000   3  59.2%  58.7%
 15  -1.00000000e+00  -1.00000000e+00  1.04316386527661e+00  2.72125687816491e-01  0.250000   2  59.0%  57.4%
 16  -1.00000000e+00  -1.00000000e+00  1.02260165379399e+00  3.07269265426488e-01  0.250000   2  57.7%  56.3%
 17  -1.00000000e+00  -1.00000000e+00  9.87796969273468e-01  4.74976107254786e-01  0.500000   1  65.6%  65.3%
 18  -1.00000000e+00  -1.00000000e+00  9.73603224834148e-01  2.80014967336466e-01  0.250000   2  66.3%  65.4%
